tensor.data,tensor.data.shape,tensor.index_set
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x0_4:0 x0_5:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x1_4:0 x1_5:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x2_4:0 x2_5:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x3_2:0 x3_3:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x0_5:0 x0_6:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x1_5:0 x1_6:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x2_5:0 x2_6:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x3_3:0 x3_4:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x3_4:0 x3_5:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0_6:0 x0_7:0 x1_6:0 x1_7:0 x5_6:0 x5_7:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2_6:0 x2_7:0 x5_7:0 x5_8:0 x3_5:0 x3_6:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x0_7:0 x0_8:0 x1_7:0 x1_8:0 x5_8:0 x5_9:0
1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        0.0+0.0j        1.0+0.0j        1.0+0.0j        0.0+0.0j,2 2 2 2 2 2,x2_7:0 x2_8:0 x5_9:0 y5:0 x3_6:0 x3_7:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x3_7:0 x3_8:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x0_8:0 x0_9:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x1_8:0 x1_9:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x2_8:0 x2_9:0
0.0+0.0j 1.0+0.0j  1.0+0.0j 0.0+0.0j,2 2,x3_8:0 x3_9:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x0_9:0 y0:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x1_9:0 y1:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x2_9:0 y2:0
0.7+0.0j 0.7+0.0j  0.7+0.0j -0.7+0.0j,2 2,x3_9:0 y3:0
1.0+0.0j 0.0+0.0j,2,x0:0
1.0+0.0j 0.0+0.0j,2,x1:0
1.0+0.0j 0.0+0.0j,2,x2:0
1.0+0.0j 0.0+0.0j,2,x3:0
1.0+0.0j 0.0+0.0j,2,x4:0
1.0+0.0j 0.0+0.0j,2,x5:0
